Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_partiallyvaccinated,fac_inc_fullyvaccinated,sum_staff_vaccinations,sum_inc_tested,sum_inc_positive,sum_inc_positiveremand,sum_inc_positivegeneral,sum_inc_negative,sum_inc_pending,sum_inc_deaths,sum_staff_positive,sum_staff_deaths,fac_address,fac_state,match,oldnew,fac_inc_vaccinated,fac_inc_population,state
1,2021-01-01,12/30/2020,AK,NR,NR,NR,NR,16748.0,2026.0,197.0,1829.0,13183.0,1146.0,5.0,NR,NR,,NR,NR,NR,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
2,2021-01-02,12/30/2020,AK,,NR,NR,NR,16748.0,2026.0,197.0,1829.0,13183.0,1146.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
3,2021-01-03,12/30/2020,AK,,NR,NR,NR,16748.0,2026.0,197.0,1829.0,13183.0,1146.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
4,2021-01-04,12/30/2020,AK,,NR,NR,NR,16748.0,2026.0,197.0,1829.0,13183.0,1146.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
5,2021-01-05,1/1/2021,AK,,NR,NR,NR,16777.0,2029.0,199.0,1830.0,13185.0,1172.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
6,2021-01-06,1/4/2021,AK,,NR,NR,NR,17005.0,2080.0,200.0,1880.0,13356.0,1171.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
7,2021-01-07,1/5/2021,AK,,NR,NR,NR,17155.0,2153.0,203.0,1950.0,13431.0,1167.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
8,2021-01-08,1/6/2021,AK,,NR,NR,NR,17160.0,2155.0,205.0,1950.0,13440.0,1160.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
9,2021-01-09,1/6/2021,AK,,NR,NR,NR,17160.0,2155.0,205.0,1950.0,13440.0,1160.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
10,2021-01-10,1/6/2021,AK,,NR,NR,NR,17160.0,2155.0,205.0,1950.0,13440.0,1160.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
11,2021-01-11,1/6/2021,AK,,NR,NR,NR,17160.0,2155.0,205.0,1950.0,13440.0,1160.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
12,2021-01-12,1/8/2021,AK,,NR,NR,NR,17741.0,2180.0,209.0,1971.0,13836.0,1317.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
13,2021-01-13,1/12/2021,AK,,NR,NR,NR,18507.0,2222.0,212.0,2010.0,14491.0,1381.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
14,2021-01-14,1/12/2021,AK,,NR,NR,NR,18507.0,2222.0,212.0,2010.0,14491.0,1381.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
15,2021-01-15,1/13/2021,AK,,NR,NR,NR,18760.0,2224.0,211.0,2013.0,15194.0,914.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
16,2021-01-16,1/14/2021,AK,,NR,NR,NR,18828.0,2241.0,212.0,2029.0,15257.0,900.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
17,2021-01-17,1/14/2021,AK,,NR,NR,NR,18828.0,2241.0,212.0,2029.0,15257.0,900.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
18,2021-01-18,1/14/2021,AK,,NR,NR,NR,18828.0,2241.0,212.0,2029.0,15257.0,900.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
19,2021-01-19,1/14/2021,AK,,NR,NR,NR,18828.0,2241.0,212.0,2029.0,15257.0,900.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
20,2021-01-20,1/15/2021,AK,,NR,NR,NR,18866.0,2241.0,212.0,2029.0,15338.0,850.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
21,2021-01-21,1/19/2021,AK,,NR,NR,NR,19213.0,2269.0,222.0,2047.0,16110.0,378.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
22,2021-01-22,1/20/2021,AK,,NR,NR,NR,19272.0,2277.0,223.0,2054.0,16162.0,377.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
23,2021-01-23,1/22/2021,AK,,NR,NR,NR,19536.0,2285.0,223.0,2062.0,16641.0,120.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
24,2021-01-24,1/22/2021,AK,,NR,NR,NR,19536.0,2285.0,223.0,2062.0,16641.0,120.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
25,2021-01-25,1/22/2021,AK,,NR,NR,NR,19536.0,2285.0,223.0,2062.0,16641.0,120.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
