Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_positive,fac_staff_positive,fac_inc_vaccinated,fac_staff_vaccinated,sum_inc_tested,sum_inc_positive,sum_inc_deaths,sum_inc_pending,sum_inc_recovered,sum_staff_positive,sum_staff_recovered,sum_staff_deaths,sum_staff_vaccinated,sum_inc_vaccinated,facility_bjs,fac_state,fac_inc_deaths,fac_inc_tested,fac_inc_recovered,fac_inc_pending,fac_staff_recovered,fac_address,fac_zip,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_privprison,bjs_fac_malepop,bjs_fac_maleflag,bjs_fac_femalepop,bjs_fac_femaleflag,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_notes,oldnew,last_updated,state
1,2021-01-01,,AL,ATEF,6.0,2.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,ATMORE COMMUNITY WORK CENTER,AL,,,,,,9947 Highway 21 North,36503.0,in BJS (matched),Alabama,1e+19,,ATMORE COMMUNITY WORK CENTER,9947 Highway 21 North,,Atmore,AL,36503.0,Males only,Minimum/low,None,State authority,,249.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
2,2021-01-01,,AL,Alex City,1.0,7.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,ALEX CITY COMMUNITY BASED FACILITY,AL,,,,,,"Highway 22 W, P O Drawer 160",35011.0,in BJS (matched),Alabama,1e+19,,ALEX CITY Community Based Facility,Highway 22 W,P O Drawer 160,Alex City,AL,35011.0,Males only,Minimum/low,50% or more of the inmates,State authority,,316.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
3,2021-01-01,,AL,Bibb,163.0,50.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,BIBB CORRECTIONAL FACILITY,AL,,,,,,565 BIBB LANE,35034.0,in BJS (matched),Alabama,1e+19,,BIBB CORRECTIONAL FACILITY,565 BIBB LANE,,BRENT,AL,35034.0,Males only,Maximum/close/high,None,State authority,,1942.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
4,2021-01-01,,AL,Birmingham,17.0,28.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,BIRMINGHAM CCC,AL,,,,,,1609 7th Street North,35204.0,in BJS (matched),Alabama,1.80377e+19,,BIRMINGHAM CCC,1609 7th Street North,,BIRMINGHAM,AL,35204.0,Both males and females,Minimum/low,50% or more of the inmates,Private contractor,Federal Bureau of Prisons,43.0,Estimated data,4.0,Estimated data,No,,No,No,100% of population held for Federal Bureau of Prisons,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
5,2021-01-01,,AL,Bullock,126.0,53.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,BULLOCK CORRECTIONAL FACILITY,AL,,,,,,"104 Bullock Dr., Hwy 82 E",36089.0,in BJS (matched),Alabama,1e+19,1e+19,BULLOCK CORRECTIONAL FACILITY,"104 Bullock Dr., Hwy 82 E",,Union Springs,AL,36089.0,Males only,Medium,None,State authority,,1331.0,,,,Yes,Bullock Mental Health Correctional Facility,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
6,2021-01-01,,AL,CJC,0.0,42.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,,AL,,,,,,"301 South Ripley St., Montgomery, AL",36104.0,not in BJS,,,,,,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
7,2021-01-01,,AL,Camden,0.0,3.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,CAMDEN COMMUNITY BASED FACILITY,AL,,,,,,1780 AL Hwy 221,36726.0,in BJS (matched),Alabama,1e+19,,CAMDEN COMMUNITY Based Facility,1780 AL Hwy 221,,Camden,AL,36726.0,Males only,Minimum/low,50% or more of the inmates,State authority,,156.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
8,2021-01-01,,AL,Childersburg,5.0,14.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,CHILDERSBURG COMMUNITY BASED FACILITY,AL,,,,,,"13501 Plant Road, P O Box 368",35044.0,in BJS (matched),Alabama,1e+19,,CHILDERSBURG COMMUNITY Based Facility,13501 Plant Road,P O Box 368,Childersburg,AL,35044.0,Males only,Minimum/low,50% or more of the inmates,State authority,,551.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
9,2021-01-01,,AL,Donaldson,34.0,26.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,,AL,,,,,,100 WARRIOR LANE,,not in BJS,,,,,,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
10,2021-01-01,,AL,Draper QIF,83.0,0.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,DRAPER CORRECTIONAL FACILITY,AL,,,,,,2828 ALABAMA HIGHWAY 143,36025.0,in BJS (matched),Alabama,1e+19,,DRAPER CORRECTIONAL FACILITY,2828 ALABAMA HIGHWAY 143,,ELMORE,AL,36025.0,Males only,Medium,None,State authority,,1257.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
11,2021-01-01,,AL,Easterling,56.0,28.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,EASTERLING CORRECTIONAL FACILITY,AL,,,,,,200 WALLACE DRIVE,36017.0,in BJS (matched),Alabama,1e+19,,EASTERLING CORRECTIONAL FACILITY,200 WALLACE DRIVE,,CLIO,AL,36017.0,Males only,Medium,None,State authority,,1525.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
12,2021-01-01,,AL,Elba,1.0,8.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,ELBA COMMUNITY BASED FACILITY,AL,,,,,,1620 BOSWELL STREET,36323.0,in BJS (matched),Alabama,1e+19,,ELBA COMMUNITY Based Facility,1620 BOSWELL STREET,,ELBA,AL,36323.0,Males only,Minimum/low,50% or more of the inmates,State authority,,243.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
13,2021-01-01,,AL,Elmore,27.0,18.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,ELMORE CORRECTIONAL FACILITY,AL,,,,,,3520 MARION SPILLWAY ROAD,36025.0,in BJS (matched),Alabama,1e+19,,ELMORE CORRECTIONAL FACILITY,3520 MARION SPILLWAY ROAD,,ELMORE,AL,36025.0,Males only,Medium,None,State authority,,1182.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
