Unnamed: 0,scrapedate,lastupdated,stateagency,fac_facilinitials,facility,fac_inc_positive,fac_inc_positivelast14days,fac_inc_active,fac_inc_releasedwhileactive,fac_inc_recovered,fac_inc_deaths,fac_staff_population,fac_staff_partiallyvaccinated,fac_staff_fullyvaccinated,facilties_staff_fullyvaccinatedpercent,fac_inc_population,fac_inc_partiallyvaccinated,fac_inc_fullyvaccinated,facilties_inc_fullyvaccinatedpercent,fac_staff_positive,fac_staff_recovered,sum_inc_tested,sum_staff_deaths,sum_staff_active,sum_inc_vaccinated,sum_staff_vaccinated,facility_bjs,fac_state,fac_inc_tested,fac_staff_deaths,fac_inc_new_deaths,fac_inc_new_recovered,fac_inc_new_tested,fac_inc_new_positive,fac_inc_negative,fac_inc_new_negative,fac_inc_released,fac_inc_new_released,fac_inc_tested1000,fac_inc_new_tested1000,fac_inc_pending,fac_inc_activetested14,fac_inc_activeptested14,fac_inc_activeinconclusive,fac_staff_new_deaths,fac_staff_new_recovered,fac_staff_new_positive,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_vaccited,sum_staff_positive,sum_staff_vaccited,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeusetxt,bjs_fac_changemth,bjs_fac_changeyr,bjs_fac_changeclose,bjs_fac_notes2,oldnew,fac_staff_active,fac_staff_newlast14days,state
1,2021-01-01,44196,CA,ISP,Ironwood State Prison,856.0,480.0,734.0,7.0,114.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19005 Wiley’s Well Road, Blythe, CA 92225 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
2,2021-01-01,44196,CA,SCC,Sierra Conservation Center,1111.0,563.0,587.0,9.0,515.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5100 O’Byrnes Ferry Road, Jamestown, CA 95327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
3,2021-01-01,44196,CA,CTF,Correctional Training Facility,2168.0,367.0,461.0,21.0,1677.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soledad Prison Road, Soledad, CA 93960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
4,2021-01-01,44196,CA,CMC,CA Mens Colony,991.0,403.0,378.0,9.0,602.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Colony Dr, San Luis Obispo, CA 93409 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
5,2021-01-01,44196,CA,MCSP,Mule Creek State Prison,1418.0,307.0,367.0,3.0,1046.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4001 Highway 104, Ione, CA 95640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
6,2021-01-01,44196,CA,WSP,Wasco State Prison,1155.0,349.0,362.0,44.0,749.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"701 Scofield Avenue, Wasco, CA 93280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
7,2021-01-01,44196,CA,NKSP,North Kern State Prison,647.0,285.0,361.0,7.0,279.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2737 West Cecil Avenue, Delano, CA 93215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
8,2021-01-01,44196,CA,CMF,CA Medical Facility,363.0,281.0,353.0,2.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1600 California Dr., Vacaville, CA 95696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
9,2021-01-01,44196,CA,CCWF,Central CA Women's Facility,382.0,348.0,349.0,1.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23370 Road 22, Chowchilla, CA 93610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
10,2021-01-01,44196,CA,CAL,Calipatria State Prison,660.0,185.0,340.0,11.0,309.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7018 Blair Road, Calipatria, CA 92233 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
