Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_positive,fac_inc_activeasymptomatic,sum_inc_tested,fac_inc_activesymptomatic,sum_inc_hospitalized,sum_inc_recovered,sum_inc_deaths,sum_staff_positive,sum_staff_active,sum_staff_vaccinatedfirstdose,sum_staff_vaccinatedseconddose,sum_inc_vaccinatedfirstdose,sum_inc_vaccinatedseconddose,sum_staff_deaths,facility_bjs,fac_state,fac_inc_recovered,fac_inc_negative,fac_inc_returned,fac_address,fac_zip,sum_inc_positive,sum_inc_vaccinated,sum_staff_vaccinated,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,...1,state
1,2021-01-01,,CT,Bridgeport CC,276,128.0,,,15.0,2581.0,13.0,,308.0,,,,,,BRIDGEPORT CORRECTIONAL CENTER,CT,,,,1106 N AVENUE,6604.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,BRIDGEPORT CORRECTIONAL CENTER,1106 N AVENUE,BRIDGEPORT,CT,6604.0,Males only,Maximum/close/high,None,State authority,865.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
2,2021-01-01,,CT,Brooklyn CI,157,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"59 HARTFORD ROAD, BROOKLYN, CT 6234",6234.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
3,2021-01-01,,CT,Carl Robinson CI,291,,,,15.0,2581.0,13.0,,308.0,,,,,,ROBINSON CORRECTIONAL INSTITUTION,CT,,,,285 SHAKER RD,6082.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,ROBINSON CORRECTIONAL INSTITUTION,285 SHAKER RD,ENFIELD,CT,6082.0,Males only,Medium,None,State authority,1459.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
4,2021-01-01,,CT,Cheshire CI,332,75.0,,,15.0,2581.0,13.0,,308.0,,,,,,CHESHIRE CORRECTIONAL CENTER,CT,,,,900 HIGHLAND AVENUE,6410.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,CHESHIRE CORRECTIONAL CENTER,900 HIGHLAND AVENUE,CHESHIRE,CT,6410.0,Males only,Maximum/close/high,None,State authority,1471.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
5,2021-01-01,,CT,Corrigan-Radgowski,269,4.0,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"986 Norwich-New London Turnpike Uncasville, CT 06382",6382.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
6,2021-01-01,,CT,Garner CI,75,7.0,,,15.0,2581.0,13.0,,308.0,,,,,,GARNER CORRECTIONAL INSTITUTION,CT,,,,50 NUNNAWAUK ROAD,6470.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,GARNER CORRECTIONAL INSTITUTION,50 NUNNAWAUK ROAD,NEWTOWN,CT,6470.0,Males only,Maximum/close/high,None,State authority,648.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
7,2021-01-01,,CT,Hartford CC,249,46.0,,,15.0,2581.0,13.0,,308.0,,,,,,HARTFORD CORRECTIONAL CENTER,CT,,,,177 WESTON STREET,6120.0,3343.0,,,in BJS (matched),Connecticut,7e+19,7e+19,HARTFORD CORRECTIONAL CENTER,177 WESTON STREET,HARTFORD,CT,6120.0,Males only,Maximum/close/high,None,State authority,1064.0,,Yes,MEDICAL-SURGICAL WARD UNIV. OF CT,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
8,2021-01-01,,CT,MacDougall-Walker,510,27.0,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"1153 East Street, South Suffield , CT 06080",6080.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
9,2021-01-01,,CT,MacDougall-Walker Infirmary,176,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"1153 East Street, South Suffield , CT 06080",6080.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
10,2021-01-01,,CT,Manson Youth,11,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"42 Jarvis Street Cheshire, CT 06410",6410.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
