Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_asymptomatic,fac_inc_symptomatic,fac_inc_deaths,fac_staff_positivecorrectional,fac_staff_positivecontract,sum_inc_tested,sum_inc_recovered,sum_inc_positive,sum_staff_recovered,sum_staff_positive,sum_staff_deaths,sum_inc_vaccinations_dose1,sum_inc_vaccinations_dose2,sum_staff_vaccinations_dose1,sum_staff_vaccinations_dose2,facility_bjs,fac_state,fac_inc_positive,fac_staff_positive,fac_inc_recovered,fac_inc_active,fac_inc_activeasymptomatic,fac_inc_activesymptomatic,fac_staff_recovered,fac_staff_active,fac_address,fac_zip,sum_inc_deaths,sum_inc_vaccinated,sum_staff_vaccinated,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_zip2,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,sum_inc_pvaccinated_dose1,sum_inc_vaccinations_booster,state
1,2021-01-01,12/29/2020,DE,James T. Vaughn Correctional Center,64,9,7,30,4,,,,,,,,,,,,,,,,,,,,,"1181 Paddock Road Smyrna, DE 19977",,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/DE.csv
2,2021-01-01,12/29/2020,DE,Howard R. Young Correctional Institution,111,8,0,26,2,,,,,,,,,,,,,,,,,,,,,"1301 E. 12th Street Wilmington, DE 19802",,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/DE.csv
3,2021-01-01,12/29/2020,DE,Delores J. Baylor Woman's Correctional Institution,0,4,0,3,1,,,,,,,,,,,,,,,,,,,,,"660 Baylor Blvd, New Castle, DE 19720",,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/DE.csv
4,2021-01-01,12/29/2020,DE,Sussex Correctional Institution,104,9,4,8,7,,,,,,,,,,,,,,,,,,,,,"23203 Dupont Blvd Georgetown, DE 19947",,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/DE.csv
5,2021-01-01,12/29/2020,DE,Sussex Community Corrections,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,"23207 Dupont Blvd. Georgetown, DE 19947",,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/DE.csv
6,2021-01-01,12/29/2020,DE,Morris Community Corrections Center,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,"300 Water Street Dover, DE 19904",,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/DE.csv
7,2021-01-01,12/29/2020,DE,Plummer Community Corrections,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,"38 Todds Lane Wilmington, DE 19802",,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/DE.csv
8,2021-01-01,12/29/2020,DE,,,,,,,NR,1441.0,1761.0,468.0,549.0,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/DE.csv
9,2021-01-02,12/29/2020,DE,James T. Vaughn Correctional Center,64,9,7,30,4,,,,,,,,,,,,,,,,,,,,,"1181 Paddock Road Smyrna, DE 19977",,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/DE.csv
10,2021-01-02,12/29/2020,DE,Howard R. Young Correctional Institution,111,8,0,26,2,,,,,,,,,,,,,,,,,,,,,"1301 E. 12th Street Wilmington, DE 19802",,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/DE.csv
