Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_staff_active,fac_staff_positive,fac_staff_recovered,fac_staff_deaths,fac_inc_quarantined,facility_inc_partiallyvaccinated,facility_inc_fullyvaccinated,sum_inc_tested,sum_inc_pending,sum_inc_negative,sum_inc_positive,sum_inc_symptomatic,sum_inc_asymptomatic,sum_inc_inactive,sum_inc_deaths,sum_staff_vaccinations,fac_state,fac_inc_negative,fac_inc_pending,fac_inc_activeasymptomatic,fac_address,fac_zip,sum_staff_positive,match,oldnew,state
1,2021-01-01,12/31/2020,ID,District 1,0.0,3.0,3.0,NR,,,,,,,3587.0,,,,,,,,,,"202 Anton, First Floor Coeur d'Alene, ID ,83815",,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ID.csv
2,2021-01-01,12/31/2020,ID,District 3,0.0,5.0,5.0,NR,,,,,,,3587.0,,,,,,,,,,"3110 Cleveland Blvd. Building D, Caldwell, ID 83605",,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ID.csv
3,2021-01-01,12/31/2020,ID,District 4,0.0,14.0,14.0,NR,,,,,,,3587.0,,,,,,,,,,"10221 West Emerald Street,Boise, ID 83704",,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ID.csv
4,2021-01-01,12/31/2020,ID,District 5,0.0,6.0,6.0,NR,,,,,,,3587.0,,,,,,,,,,"731 Shoup Avenue West, Twin Falls, ID 83301",,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ID.csv
5,2021-01-01,12/31/2020,ID,District 6,0.0,5.0,5.0,NR,,,,,,,3587.0,,,,,,,,,,"1246 Yellowstone Avenue Suite F, Pocatello, ID 83201-4310",,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ID.csv
6,2021-01-01,12/31/2020,ID,District 7,2.0,7.0,5.0,NR,,,,,,,3587.0,,,,,,,,,,"2225 W. Broadway St., Suite A, Idaho Falls, ID 83402",,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ID.csv
7,2021-01-01,12/31/2020,ID,ICIO,0.0,41.0,41.0,NR,,,,,,,3587.0,,,,,,,,,,"381 West Hospital Drive, Orofino, ID 83544",,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ID.csv
8,2021-01-01,12/31/2020,ID,ISCC,3.0,81.0,78.0,NR,,,,,,,3587.0,,,,,,,,,,"14601 S. Pleasant Valley Rd, Kuna, ID 83634",,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ID.csv
9,2021-01-01,12/31/2020,ID,ISCI,7.0,85.0,78.0,NR,,,,,,,3587.0,,,,,,,,,,"13500 S.  Pleasant Valley Rd, Kuna, ID 83634",,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ID.csv
10,2021-01-01,12/31/2020,ID,IMSI,1.0,31.0,30.0,NR,,,,,,,3587.0,,,,,,,,,,"13400 S. Pleasant Valley Rd, Kuna, ID 83634",,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ID.csv
