Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,fac_inc_active,fac_staff_positive,fac_staff_active,fac_inc_vaccinated,fac_inc_vaccinatedweekly,fac_staff_vaccinated,fac_staff_vaccinated_weekly,sum_inc_deaths,sum_staff_deaths,facility_bjs,fac_state,fac_inc_deaths,fac_staff_deaths,fac_inc_recovered,fac_inc_new_positive,fac_staff_recovered,fac_address,fac_zip,sum_inc_positive,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,state
1,2021-01-01,12/31/2020,KS,El Dorado,NR,909.0,53,206.0,33.0,,,,,0.0,1.0,,,,,,,,1737 SE US HWY 54,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
2,2021-01-01,12/31/2020,KS,Ellsworth,NR,560.0,83,86.0,2.0,,,,,3.0,0.0,,,,,,,,1607 STATE STREET,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
3,2021-01-01,12/31/2020,KS,Hutchinson,NR,1355.0,1,233.0,10.0,,,,,3.0,0.0,,,,,,,,500 REFORMATORY RD,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
4,2021-01-01,12/31/2020,KS,Lansing,NR,995.0,4,153.0,6.0,,,,,5.0,2.0,,,,,,,,"301 E. Kansas Ave., Lansing, KS 66043",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
5,2021-01-01,12/31/2020,KS,Larned,NR,353.0,0,70.0,3.0,,,,,1.0,0.0,,,,,,,,"1318 KS Highway 264, Larned, KS 67550-0280",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
6,2021-01-01,12/31/2020,KS,Norton,NR,757.0,69,121.0,8.0,,,,,0.0,0.0,,,,,,,,E HIGHWAY 36,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
7,2021-01-01,12/31/2020,KS,Topeka,NR,54.0,6,64.0,3.0,,,,,0.0,1.0,,,,,,,,"815 S.E. Rice Rd., Topeka, KS 66607",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
8,2021-01-01,12/31/2020,KS,Winfield,NR,197.0,20,40.0,0.0,,,,,0.0,0.0,,,,,,,,1806 PINECREST CIRCLE,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
9,2021-01-01,12/31/2020,KS,Wichita Work Release,NR,81.0,0,17.0,0.0,,,,,0.0,0.0,,,,,,,,401 S. EMPORIA STREET,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
10,2021-01-01,12/31/2020,KS,KJCC,NR,19.0,0,61.0,4.0,,,,,0.0,0.0,,,,,,,,"1430 N.W. 25th St., Topeka, KS 66618-1499",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
11,2021-01-02,12/31/2020,KS,El Dorado,NR,909.0,53,206.0,33.0,,,,,0.0,1.0,,,,,,,,1737 SE US HWY 54,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
12,2021-01-02,12/31/2020,KS,Ellsworth,NR,560.0,83,86.0,2.0,,,,,3.0,0.0,,,,,,,,1607 STATE STREET,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
13,2021-01-02,12/31/2020,KS,Hutchinson,NR,1355.0,1,233.0,10.0,,,,,3.0,0.0,,,,,,,,500 REFORMATORY RD,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
14,2021-01-02,12/31/2020,KS,Lansing,NR,995.0,4,153.0,6.0,,,,,5.0,2.0,,,,,,,,"301 E. Kansas Ave., Lansing, KS 66043",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
15,2021-01-02,12/31/2020,KS,Larned,NR,353.0,0,70.0,3.0,,,,,1.0,0.0,,,,,,,,"1318 KS Highway 264, Larned, KS 67550-0280",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
16,2021-01-02,12/31/2020,KS,Norton,NR,757.0,69,121.0,8.0,,,,,0.0,0.0,,,,,,,,E HIGHWAY 36,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
17,2021-01-02,12/31/2020,KS,Topeka,NR,54.0,6,64.0,3.0,,,,,0.0,1.0,,,,,,,,"815 S.E. Rice Rd., Topeka, KS 66607",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
18,2021-01-02,12/31/2020,KS,Winfield,NR,197.0,20,40.0,0.0,,,,,0.0,0.0,,,,,,,,1806 PINECREST CIRCLE,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
19,2021-01-02,12/31/2020,KS,Wichita Work Release,NR,81.0,0,17.0,0.0,,,,,0.0,0.0,,,,,,,,401 S. EMPORIA STREET,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
20,2021-01-02,12/31/2020,KS,KJCC,NR,19.0,0,61.0,4.0,,,,,0.0,0.0,,,,,,,,"1430 N.W. 25th St., Topeka, KS 66618-1499",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
21,2021-01-03,12/31/2020,KS,El Dorado,NR,909.0,53,206.0,33.0,,,,,0.0,1.0,,,,,,,,1737 SE US HWY 54,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
22,2021-01-03,12/31/2020,KS,Ellsworth,NR,560.0,83,86.0,2.0,,,,,3.0,0.0,,,,,,,,1607 STATE STREET,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
23,2021-01-03,12/31/2020,KS,Hutchinson,NR,1355.0,1,233.0,10.0,,,,,3.0,0.0,,,,,,,,500 REFORMATORY RD,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
