Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_population,fac_inc_testeddaily,fac_inc_positivedaily,fac_staff_testeddaily,fac_staff_positivedaily,fac_staff_positivecodaily,fac_staff_positiveotherdaily,fac_inc_active,fac_inc_deathsdaily,fac_staff_deaths,sum_inc_partiallyvaccinatedweekly,sum_inc_fullyvaccinatedweekly,sum_staff_partiallyvaccinatedweekly,sum_staff_fullyvaccinatedweekly,fac_inc_tested,fac_inc_positive,fac_inc_deaths,fac_staff_tested,fac_staff_positive,sum_inc_partiallyvaccinated,sum_inc_fullyvaccinated,sum_staff_partiallyvaccinated,sum_staff_fullyvaccinated,facility_bjs,fac_state,fac_inc_pop,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_inc_partiallyvaccitedweekly,sum_inc_fullyvaccitedweekly,sum_inc_partiallyvaccited,sum_inc_fullyvaccited,sum_staff_positive,sum_staff_tested,sum_staff_fullyvaccitedweekly,sum_staff_partiallyvaccited,sum_staff_fullyvaccited,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_notes,bjs_fac_notes2,state
...1,2021-01-01,2021-01-01,MA,MASAC,21,0,0,0,0,0,0,0,0,NR,,,,,430.0,39.0,0.0,159.0,31.0,,,,,,,,"Myles Standish State Forest 1 Bump Pond Rd., Plymouth, MA 02360",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...2,2021-01-01,2021-01-01,MA,Boston Pre,38,0,0,0,0,0,0,1,0,NR,,,,,170.0,1.0,0.0,69.0,13.0,,,,,,,,"430 Canterbury St, Roslindale, MA 2131",2131.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...3,2021-01-01,2021-01-01,MA,MCI-Norfolk,1203,0,0,0,0,0,0,11,0,NR,,,,,4085.0,464.0,2.0,763.0,62.0,,,,,,,,"2 Clark St, Norfolk, MA 02056",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...4,2021-01-01,2021-01-01,MA,NCCI-Gardn,831,0,0,0,0,0,0,90,0,NR,,,,,2433.0,633.0,1.0,229.0,24.0,,,,,,,,"670 Marion-Williamsport Rd E, Marion, OH 43302",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...5,2021-01-01,2021-01-01,MA,BSH,199,0,0,0,0,0,0,6,0,NR,,,,,643.0,24.0,0.0,1.0,4.0,,,,,,,,20 Admin Rd,2324.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...6,2021-01-01,2021-01-01,MA,OCCC,690,0,0,0,0,0,0,60,0,NR,,,,,2054.0,123.0,0.0,724.0,57.0,,,,,,,,1 Administration Rd,2324.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...7,2021-01-01,2021-01-01,MA,MCI-CJ,433,0,0,0,0,0,0,15,0,NR,,,,,1566.0,24.0,0.0,670.0,58.0,,,,,,,,"MA-1A, South Walpole, MA 02071",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...8,2021-01-01,2021-01-01,MA,MCI-C,499,0,0,0,0,0,0,1,1,NR,,,,,2074.0,294.0,2.0,812.0,71.0,,,,,,,,"965 Elm St, Concord, MA 01742",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...9,2021-01-01,2021-01-01,MA,NECC,125,0,0,0,0,0,0,1,0,NR,,,,,482.0,1.0,0.0,50.0,14.0,,,,,,,,"1266-1270 US Route 5 St., Johnsbury, VT 05819",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...10,2021-01-01,2021-01-01,MA,Pondville,109,0,0,0,0,0,0,1,0,NR,,,,,377.0,2.0,0.0,8.0,13.0,,,,,,,,"1 Industries Dr., P.O. Box 146, Norfolk, MA 02056",2056.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...11,2021-01-01,2021-01-01,MA,MCI-F,166,0,0,0,0,0,0,1,0,NR,,,,,427.0,88.0,0.0,75.0,29.0,,,,,,,,"99 Loring Dr, Framingham, MA 01702",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...12,2021-01-01,2021-01-01,MA,MCI-Shirley,1047,0,0,0,0,0,0,27,0,NR,,,,,3978.0,514.0,4.0,406.0,83.0,,,,,,,,"Harvard Rd, Shirley, MA 01464",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...13,2021-01-01,2021-01-01,MA,MTC,544,0,0,0,0,0,0,12,0,NR,,,,,1381.0,170.0,5.0,248.0,45.0,,,,,,,,"30 Administration Rd., Bridgewater, MA 02324",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...14,2021-01-01,2021-01-01,MA,SMCC,28,0,0,0,0,0,0,1,0,NR,,,,,67.0,1.0,0.0,2.0,6.0,,,,,,,,"135 Western Avenue, P.O. Box 788 Framingham, MA 01701",1701.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
