Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_staff_tested,fac_staff_positive,fac_staff_recovered,fac_staff_deaths,fac_inc_tested,fac_inc_positive,fac_inc_recovered,fac_inc_deaths,sum _staff_testsconducted,sum_inc_partiallyvaccinated,sum_inc_fullyvaccinated,sum_staff_partiallyvaccinated,sum_staff_fullyvaccinated,x18,x19,facility_bjs,fac_state,fac_city,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_staff_deaths,sum_staff_positive,sum_staff_tested,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_notes,oldnew,sum_inc_firstdoserefusal,sum_inc_seconddoserefusal,state
1,2021-01-01,44193,MD,Baltimore Central Booking & Intake Center (BCBIC),5358,217.0,182.0,2.0,3544.0,235.0,226.0,0.0,,,,,,,,,,,"300 E. Madison Street Baltimore, Maryland",,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MD.csv
2,2021-01-01,44193,MD,Balimore City Correctional Center (BCCC),137,34.0,15.0,0.0,1248.0,46.0,4.0,0.0,,,,,,,,,,,"901 Greenmount Ave, Baltimore, MD 21202",,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MD.csv
3,2021-01-01,44193,MD,Chesapeake Detention Center (CDF),270,47.0,43.0,0.0,1236.0,26.0,20.0,0.0,,,,,,,,,,,401 E. MADISON STREET,,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MD.csv
4,2021-01-01,44193,MD,"Maryland Reception, Diagnostics and Classification Center (MRDCC)",371,76.0,48.0,0.0,1850.0,81.0,29.0,0.0,,,,,,,,,,,"550 E. MADISON STREET, BALTIMORE, MD 21202",,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MD.csv
5,2021-01-01,44193,MD,Metropolitan Transition Center (MTC),719,106.0,96.0,0.0,2067.0,127.0,113.0,1.0,,,,,,,,,,,954 FORREST STREET,,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MD.csv
6,2021-01-01,44193,MD,Youth Detention Center (YDC),161,15.0,11.0,0.0,341.0,6.0,6.0,0.0,,,,,,,,,,,"926 Greenmount Avenue Baltimore, Maryland 21202",,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MD.csv
7,2021-01-01,44193,MD,Eastern Correctional Institution (ECI),1086,173.0,156.0,0.0,6667.0,898.0,722.0,0.0,,,,,,,,,,,"30420 Revells Neck Road Westover, Maryland 21890",,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MD.csv
8,2021-01-01,44193,MD,Eastern Pre-Release Unit (EPRU),47,2.0,1.0,0.0,230.0,0.0,0.0,0.0,,,,,,,,,,,"700 Flat Iron Square Road Church Hill, Maryland 21623",,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MD.csv
9,2021-01-01,44193,MD,Maryland CI - Hagerstown (MCIH),596,72.0,64.0,0.0,1801.0,130.0,115.0,3.0,,,,,,,,,,,"18601 Roxbury Road Hagerstown, Maryland 21746",,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MD.csv
10,2021-01-01,44193,MD,Maryland Correctional Training Ctr. (MCTC),616,112.0,48.0,0.0,4255.0,107.0,35.0,0.0,,,,,,,,,,,"18800 Roxbury Road Hagerstown, Maryland 21746",,3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MD.csv
