Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,sum_inc_totalcapacity,sum_inc_deathsadults,sum_inc_deathsjuvenile,sum_inc_populationadult,sum_inc_populationjuvenile,sum_inc_testedadult,sum_inc_testedjuvenile,sum_inc_pendingadult,sum_inc_pendingjuvenile,sum_inc_positiveadult,sum_inc_positivejuvenile,sum_inc_negativeadult,sum_inc_negativejuvenile,sum_inc_refusedadult,sum_inc_refusedjuvenile,sum_staff_positiveadult,sum_staff_positivejuvenile,sum_staff_deathsadult,sum_staff_deathsjuvenile,sum_staff_positive,sum_staff_deaths,sum_inc_adult_vaccinated_dose1,sum_inc_adult_vaccinated_dose2,sum_inc_juvenile_vaccinated_dose1,sum_inc_juvenile_vaccinated_dose2,facility_bjs,fac_state,fac_inc_deaths,fac_address,fac_zip,sum_inc_negative,sum_inc_pending,sum_inc_pop,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_inc_refused,match,bjs_fac_state,bjs_fac_id,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,sum_inc_vaccinatedpercent_adult,sum_inc_vaccinatedpercent_juvenile,state
1,2021-01-01,12/31/2020,ME,MSP,2873.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE STATE PRISON - WARREN,ME,0.0,807 CUSHING ROAD,4864.0,,,1712.0,157.0,1.0,6978.0,,in BJS (matched),Maine,2e+20,MAINE STATE PRISON - WARREN,807 CUSHING ROAD,WARREN,ME,4864.0,Males only,Super maximum,None,State authority,821.0,,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
2,2021-01-01,12/31/2020,ME,MCC,2453.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE CORRECTIONAL CENTER,ME,0.0,17 MALLISON FALLS ROAD,4062.0,,,1712.0,157.0,1.0,6978.0,,in BJS (matched),Maine,2e+20,MAINE CORRECTIONAL CENTER,17 MALLISON FALLS ROAD,WINDHAM,ME,4062.0,Both males and females,Medium,Less than 50% of the inmates,State authority,560.0,144.0,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
3,2021-01-01,12/31/2020,ME,MVCF,660.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,1.0,"1182 Dover Road, Charleston, Maine 04422",4422.0,,,1712.0,157.0,1.0,6978.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
4,2021-01-01,12/31/2020,ME,BCF,151.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"516 Cushing Road, Warren, ME 04864",4864.0,,,1712.0,157.0,1.0,6978.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
5,2021-01-01,12/31/2020,ME,Women,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"17 Mallison Falls Road, Windham, Maine 040624",40624.0,,,1712.0,157.0,1.0,6978.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
6,2021-01-01,12/31/2020,ME,Long Creek Youth Development Center,358.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"675 Westbrook Street South, Portland, ME 04106",4106.0,,,1712.0,157.0,1.0,6978.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
7,2021-01-01,44196,ME,,,,,NR,NR,1712.0,29.0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
8,2021-01-02,12/31/2020,ME,MSP,2885.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE STATE PRISON - WARREN,ME,0.0,807 CUSHING ROAD,4864.0,,,1712.0,157.0,1.0,6994.0,,in BJS (matched),Maine,2e+20,MAINE STATE PRISON - WARREN,807 CUSHING ROAD,WARREN,ME,4864.0,Males only,Super maximum,None,State authority,821.0,,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
9,2021-01-02,12/31/2020,ME,MCC,2456.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE CORRECTIONAL CENTER,ME,0.0,17 MALLISON FALLS ROAD,4062.0,,,1712.0,157.0,1.0,6994.0,,in BJS (matched),Maine,2e+20,MAINE CORRECTIONAL CENTER,17 MALLISON FALLS ROAD,WINDHAM,ME,4062.0,Both males and females,Medium,Less than 50% of the inmates,State authority,560.0,144.0,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
10,2021-01-02,12/31/2020,ME,MVCF,661.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,1.0,"1182 Dover Road, Charleston, Maine 04422",4422.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
