Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,fac_inc_pending,fac_inc_negative,fac_inc_recovered,fac_inc_active,fac_inc_hospitalized,fac_inc_deaths,fac_staff_positive,fac_staff_positivepresumed,fac_staff_recovered,fac_staff_hospitalized,fac_staff_deaths,fac_inc_population,fac_inc_firstdose,fac_inc_seconddose,fac_inc_jjvaccine,fac_staff_completeddocvaccine,facilties_staff_completedexternalvaccine,facility_bjs,fac_state,fac_inc_noisolated,fac_inc_hospital,fac_inc_pop,fac_inc_partiallyvaccinated,fac_inc_new_partiallyvaccinated,fac_inc_fullyvaccinated,fac_staff_positiveconfirmed,fac_staff_partiallyvaccinated,fac_staff_fullyvaccinated,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,state
3199,2021-01-01,,MN,MCF - Faribault,20089.0,1067.0,0.0,18886.0,903.0,161.0,,5.0,223.0,3.0,92.0,3,,,,,,,,MINNESOTA CORRECTIONAL FACILITY-FARIBAULT,MN,,7.0,,,,,131.0,,,"1101 Linden Lane Faribault, MN 55021-0730",55021.0,3621.0,9.0,85024.0,1610.0,in BJS (matched),Minnesota,2.4e+20,,MINNESOTA CORRECTIONAL FACILITY-FARIBAULT,1101 LINDEN LANE,FARIBAULT,MN,55021.0,Males only,Other,Multi level,None,State authority,1993.0,,No,,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MN.csv
3200,2021-01-01,,MN,MCF - Lino Lakes,19193.0,351.0,0.0,18771.0,337.0,14.0,,0.0,175.0,1.0,84.0,1,,,,,,,,MINNESOTA CORRECTIONAL FACILITY - LINO LAKES,MN,,1.0,,,,,91.0,,,7525 4TH AVENUE,55014.0,3621.0,9.0,85024.0,1610.0,in BJS (matched),Minnesota,2.4e+20,,MINNESOTA CORRECTIONAL FACILITY - LINO LAKES,7525 4TH AVENUE,LINO LAKES,MN,55014.0,Males only,Minimum/low,,None,State authority,1313.0,,No,,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MN.csv
3201,2021-01-01,,MN,MCF - Moose Lake,7672.0,156.0,211.0,7220.0,164.0,22.0,,1.0,161.0,4.0,75.0,4,,,,,,,,MCF-MOOSE LAKE,MN,,0.0,,,,,86.0,,,1000 Lakeshore Drive,55767.0,3621.0,9.0,85024.0,1610.0,in BJS (matched),Minnesota,2.4e+20,2.4e+20,MCF-MOOSE LAKE,1000 Lakeshore Drive,Moose Lake,MN,55767.0,Males only,Medium,,None,State authority,1028.0,,Yes,MCF - Willow River,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MN.csv
3202,2021-01-01,,MN,MCF - Oak Park Heights,4319.0,98.0,1.0,4201.0,34.0,63.0,,1.0,165.0,1.0,81.0,1,,,,,,,,MINNESOTA CORRECTIONAL FAC - OAK PARK HEIGHTS,MN,,0.0,,,,,84.0,,,"5329 Osgood Avenue North, Stillwater, MN 55082",55082.0,3621.0,9.0,85024.0,1610.0,in BJS (matched),Minnesota,2.4e+20,,MINNESOTA CORRECTIONAL FAC - OAK PARK HEIGHTS,5329 OSGOOD AVENUE NORTH,STILLWATER,MN,55082.0,Males only,Maximum/close/high,,None,State authority,434.0,,No,,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MN.csv
3203,2021-01-01,,MN,MCF - Red Wing,491.0,1.0,16.0,474.0,1.0,0.0,,0.0,40.0,0.0,19.0,0,,,,,,,,MINNESOTA CORRECTIONAL FACILITY - RED WING,MN,,0.0,,,,,21.0,,,"1079 Highway 292, Red Wing, MN 55066",55066.0,3621.0,9.0,85024.0,1610.0,in BJS (matched),Minnesota,2.4e+20,,MINNESOTA CORRECTIONAL FACILITY - RED WING,1079 HWY 292,RED WING,MN,55066.0,Males only,Minimum/low,,None,State authority,43.0,,No,,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MN.csv
3204,2021-01-01,,MN,MCF - Rush City,6516.0,208.0,11.0,6276.0,205.0,2.0,,1.0,123.0,1.0,53.0,1,,,,,,,,MINNESOTA CORRECTIONAL FACILITY - RUSH CITY,MN,,1.0,,,,,70.0,,,7600 525TH STREET,55069.0,3621.0,9.0,85024.0,1610.0,in BJS (matched),Minnesota,2.4e+20,,MINNESOTA CORRECTIONAL FACILITY - RUSH CITY,7600 525TH STREET,RUSH CITY,MN,55069.0,Males only,Maximum/close/high,,None,State authority,981.0,,No,,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MN.csv
3205,2021-01-01,,MN,MCF - St Cloud,,,,,,,,,246.0,0.0,106.0,0,,,,,,,,,MN,,,,,,,140.0,,,"2305 Minnesota Boulevard SE Box B, St. Cloud, MN 56302",56302.0,3621.0,9.0,85024.0,1610.0,not in BJS,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MN.csv
3206,2021-01-01,,MN,MCF - Shakopee,4253.0,17.0,0.0,4234.0,15.0,2.0,,0.0,68.0,0.0,30.0,0,,,,,,,,MINNESOTA CORRECTIONAL FACILITY - SHAKOPEE,MN,,0.0,,,,,38.0,,,"1010 West Sixth Avenue, Shakopee, MN 55379",55379.0,3621.0,9.0,85024.0,1610.0,in BJS (matched),Minnesota,2.4e+20,,MINNESOTA CORRECTIONAL FACILITY - SHAKOPEE,1010 W 6TH AVENUE,SHAKOPEE,MN,55379.0,Females only,Other,Multiple Security Levels,None,State authority,,606.0,No,,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MN.csv
3207,2021-01-01,,MN,MCF - St Cloud,11184.0,669.0,164.0,10246.0,643.0,26.0,,0.0,,,,,,,,,,,,,MN,,0.0,,,,,,,,"2305 Minnesota Boulevard SE Box B, St. Cloud, MN 56302",56302.0,3621.0,9.0,85024.0,1610.0,not in BJS,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MN.csv
3208,2021-01-01,,MN,MCF - Stillwater,10495.0,970.0,6.0,9470.0,962.0,7.0,,1.0,380.0,2.0,180.0,2,,,,,,,,MINNESOTA CORRECTIONAL FACILITY - STILLWATER,MN,,5.0,,,,,200.0,,,"970 Pickett Street, North Bayport, MN 55003",55003.0,3621.0,9.0,85024.0,1610.0,in BJS (matched),Minnesota,2.4e+20,,MINNESOTA CORRECTIONAL FACILITY - STILLWATER,970 PICKETT STREET NORTH,BAYPORT,MN,55003.0,Males only,Other,Multi level,None,State authority,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MN.csv
