Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_staff_active,fac_staff_recovered,fac_inc_active,fac_inc_recovered,fac_staff_positive,fac_inc_positive,sum_inc_tested,sum_inc_deaths,sum_staff_deaths,sum_total_testsconducted,sum_inc_vaccinated,sum_staff_vaccinated,facility_bjs,fac_state,fac_address,fac_zip,sum_inc_recovered,sum_inc_active,sum_inc_positive,sum_staff_recovered,sum_staff_active,sum_staff_posnonprison,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,sum_inc_vaccinatedpercent,state
1,2021-01-01,,MO,ACC Jefferson City,3.0,57.0,1.0,138.0,60.0,139.0,,,,,,,,,8501 No More Victims Road,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
2,2021-01-01,,MO,BCC Boonville,3.0,78.0,0.0,149.0,81.0,149.0,,,,,,,,,"1216 East Morgan Street Boonville, MO 65233",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
3,2021-01-01,,MO,CCC Chillicothe,4.0,93.0,1.0,293.0,97.0,294.0,,,,,,,,,3151 Litton Road,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
4,2021-01-01,,MO,CTCC Fulton,1.0,11.0,1.0,23.0,12.0,24.0,,,,,,,,,"689 State Road O, P. O. Box 70",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
5,2021-01-01,,MO,Eastern RDCC (ERDCC),9.0,168.0,52.0,469.0,177.0,521.0,,,,,,,,,2727 HIGHWAY K,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
6,2021-01-01,,MO,Farmington CC (FCC),9.0,184.0,2.0,532.0,193.0,534.0,,,,,,,,,12393 Highway O,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
7,2021-01-01,,MO,FRDC Fulton,3.0,82.0,47.0,574.0,85.0,621.0,,,,,,,,,1012 WEST COLUMBIA STREET,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
8,2021-01-01,,MO,JCCC Jefferson City,3.0,131.0,2.0,344.0,134.0,346.0,,,,,,,,,8200 NO MORE VICTIMS ROAD,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
9,2021-01-01,,MO,Kansas City Reentry Center (KCRC),2.0,10.0,4.0,5.0,12.0,9.0,,,,,,,,,"651 Mulberry Kansas City, MO 64101",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
10,2021-01-01,,MO,MCC Moberly,6.0,74.0,0.0,234.0,80.0,234.0,,,,,,,,,5201 South Morley,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
