Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_active,fac_inc_positive,fac_inc_deaths,fac_staff_positive,fac_staff_deaths,sum_staff_active,fac_inc_phase1apartiallyvaccinated,fac_inc_phase1afullyvaccinated,fac_inc_phase1bpartiallyvaccinated,fac_inc_phase1bfullyvaccinated,fac_inc_phase2apartiallyvaccinated,facilties_inc_phase1bonedose,fac_inc_phase2afullyvaccinated,fac_inc_phase2band3partiallyvaccinated,fac_inc_phase2band3fullyvaccinated,facilties_inc_phase2band3onedose,fac_inc_phase2band3onedose,sum_inc_population,sum_staff_population,sum_inc_vaccinated,facility_bjs,fac_state,fac_inc_phase1bpartvac,fac_address,fac_zip,sum_inc_pop,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_staff_positive,sum_staff_pop,match,bjs_fac_state,bjs_fac_id,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_notes,state
1,2021-01-01,44196,NH,NHCF-W,41.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"42 Perimeter Road Concord, NH 03301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
2,2021-01-01,44196,NH,NNHCF,178.0,69.0,112.0,0.0,,,,,,,,,,,,,,,,,,,,,138 EAST MILAN ROAD,3570.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
3,2021-01-01,44196,NH,NHSP-M,467.0,49.0,213.0,1.0,,,,,,,,,,,,,,,,,,,,,"281 North State St., Concord, NH 03301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
4,2021-01-01,44196,NH,TWC/THU,42.0,16.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
5,2021-01-01,44196,NH,SPU / RTU,243.0,1.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
6,2021-01-01,44196,NH,SPU / RTU,,,,,10.0,NR,0.0,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
7,2021-01-01,44196,NH,,,,,,,,,,,,,,,,,,,,,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
8,2021-01-02,44196,NH,NHCF-W,41.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"42 Perimeter Road Concord, NH 03301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
9,2021-01-02,44196,NH,NNHCF,178.0,69.0,112.0,0.0,,,,,,,,,,,,,,,,,,,,,138 EAST MILAN ROAD,3570.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
10,2021-01-02,44196,NH,NHSP-M,467.0,49.0,213.0,1.0,,,,,,,,,,,,,,,,,,,,,"281 North State St., Concord, NH 03301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
11,2021-01-02,44196,NH,TWC/THU,42.0,16.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
12,2021-01-02,44196,NH,SPU / RTU,243.0,1.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
13,2021-01-02,44196,NH,SPU / RTU,,,,,10.0,NR,0.0,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
14,2021-01-02,44196,NH,,,,,,,,,,,,,,,,,,,,2134.0,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
15,2021-01-03,44196,NH,NHCF-W,41.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"42 Perimeter Road Concord, NH 03301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
16,2021-01-03,44196,NH,NNHCF,178.0,69.0,112.0,0.0,,,,,,,,,,,,,,,,,,,,,138 EAST MILAN ROAD,3570.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
17,2021-01-03,44196,NH,NHSP-M,467.0,49.0,213.0,1.0,,,,,,,,,,,,,,,,,,,,,"281 North State St., Concord, NH 03301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
18,2021-01-03,44196,NH,TWC/THU,42.0,16.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
19,2021-01-03,44196,NH,SPU / RTU,243.0,1.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
20,2021-01-03,44196,NH,SPU / RTU,,,,,10.0,NR,0.0,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
21,2021-01-03,44196,NH,,,,,,,,,,,,,,,,,,,,2134.0,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
22,2021-01-04,44196,NH,NHCF-W,41.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"42 Perimeter Road Concord, NH 03301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
23,2021-01-04,44196,NH,NNHCF,178.0,69.0,112.0,0.0,,,,,,,,,,,,,,,,,,,,,138 EAST MILAN ROAD,3570.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
24,2021-01-04,44196,NH,NHSP-M,467.0,49.0,213.0,1.0,,,,,,,,,,,,,,,,,,,,,"281 North State St., Concord, NH 03301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
25,2021-01-04,44196,NH,TWC/THU,42.0,16.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
26,2021-01-04,44196,NH,SPU / RTU,243.0,1.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
27,2021-01-04,44196,NH,SPU / RTU,,,,,10.0,NR,0.0,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,361.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
28,2021-01-04,44196,NH,,,,,,,,,,,,,,,,,,,,2134.0,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
29,2021-01-05,44200,NH,NHCF-W,41.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"42 Perimeter Road Concord, NH 03301",3301.0,,371.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
30,2021-01-05,44200,NH,NNHCF,181.0,57.0,119.0,0.0,,,,,,,,,,,,,,,,,,,,,138 EAST MILAN ROAD,3570.0,,371.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
31,2021-01-05,44200,NH,NHSP-M,474.0,40.0,216.0,1.0,,,,,,,,,,,,,,,,,,,,,"281 North State St., Concord, NH 03301",3301.0,,371.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
32,2021-01-05,44200,NH,TWC/THU,42.0,16.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,371.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
33,2021-01-05,44200,NH,SPU / RTU,243.0,1.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,371.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
34,2021-01-05,44200,NH,SPU / RTU,,,,,12.0,NR,2.0,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,371.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
35,2021-01-05,44200,NH,,,,,,,,,,,,,,,,,,,,2133.0,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
36,2021-01-06,44201,NH,NHCF-W,41.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"42 Perimeter Road Concord, NH 03301",3301.0,,373.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
37,2021-01-06,44201,NH,NNHCF,183.0,29.0,119.0,0.0,,,,,,,,,,,,,,,,,,,,,138 EAST MILAN ROAD,3570.0,,373.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
38,2021-01-06,44201,NH,NHSP-M,493.0,36.0,217.0,1.0,,,,,,,,,,,,,,,,,,,,,"281 North State St., Concord, NH 03301",3301.0,,373.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
39,2021-01-06,44201,NH,TWC/THU,43.0,17.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,373.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
40,2021-01-06,44201,NH,SPU / RTU,244.0,1.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,373.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
41,2021-01-06,44201,NH,SPU / RTU,,,,,12.0,NR,2.0,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,373.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
42,2021-01-06,44201,NH,,,,,,,,,,,,,,,,,,,,2135.0,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
43,2021-01-07,44202,NH,NHCF-W,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,"42 Perimeter Road Concord, NH 03301",3301.0,,379.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
44,2021-01-07,44202,NH,NNHCF,184.0,28.0,124.0,0.0,,,,,,,,,,,,,,,,,,,,,138 EAST MILAN ROAD,3570.0,,379.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
45,2021-01-07,44202,NH,NHSP-M,500.0,36.0,217.0,1.0,,,,,,,,,,,,,,,,,,,,,"281 North State St., Concord, NH 03301",3301.0,,379.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
46,2021-01-07,44202,NH,TWC/THU,43.0,17.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
47,2021-01-07,44202,NH,SPU / RTU,244.0,1.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,379.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
48,2021-01-07,44202,NH,SPU / RTU,,,,,12.0,NR,2.0,,,,,,,,,,,,,,,,,,"281 NORTH STATE STREET, CONCORD, NH 3301",3301.0,,379.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
49,2021-01-07,44202,NH,,,,,,,,,,,,,,,,,,,,2135.0,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
50,2021-01-08,44203,NH,NHCF-W,60.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,"42 Perimeter Road Concord, NH 03301",3301.0,,382.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
51,2021-01-08,44203,NH,NNHCF,199.0,28.0,124.0,0.0,,,,,,,,,,,,,,,,,,,,,138 EAST MILAN ROAD,3570.0,,382.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
52,2021-01-08,44203,NH,NHSP-M,505.0,33.0,219.0,1.0,,,,,,,,,,,,,,,,,,,,,"281 North State St., Concord, NH 03301",3301.0,,382.0,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NH.csv
