Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_positivephase3,fac_inc_deathsphase3,fac_staff_positivephase3,fac_inc_positivephase2,fac_inc_deathsphase2,fac_staff_positivephase2,fac_inc_positivephase1,fac_inc_deathsphase1,fac_staff_positivephase1,fac_inc_tested,fac_inc_positive,fac_inc_deaths,fac_staff_positive,fac_staff_deaths,sum_inc_tested,sum_inc_positive,sum_inc_deaths,sum_inc_vaccinedoses,sum_staff_tested,sum_staff_positive,sum_staff_vaccinedoses,facility_bjs,fac_state,fac_address,fac_zip,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_changeclosemth,bjs_fac_changecloseyr,bjs_fac_notes,state
1,2021-01-01,12/31/2020,NJ,Adult Diagnostic and Treatment Center,9,0,37,8.0,0.0,4,384.0,14.0,76,NR,401.0,14.0,117,NR,,3620.0,,,,,,,,8 PRODUCTION WAY,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
2,2021-01-01,12/31/2020,NJ,Bayside State Prison,38,0,53,5.0,0.0,4,80.0,0.0,7,NR,123.0,0.0,64,NR,,3620.0,,,,,,,,4293 Route 47,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
3,2021-01-01,12/31/2020,NJ,Central Reception and Assignment Facility,180,0,39,7.0,0.0,5,162.0,2.0,81,NR,349.0,2.0,125,NR,,3620.0,,,,,,,,"STUYVESANT AVENUE, PO Box 7450",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
4,2021-01-01,12/31/2020,NJ,East Jersey State Prison,15,0,44,7.0,0.0,3,168.0,8.0,104,NR,190.0,8.0,151,NR,,3620.0,,,,,,,,1100 Rahway Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
5,2021-01-01,12/31/2020,NJ,Edna Mahan Correctional Facility for Women,7,0,26,6.0,0.0,0,115.0,2.0,87,NR,128.0,2.0,113,NR,,3620.0,,,,,,,,"30 County Route 513 Clinton, New Jersey 08809",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
6,2021-01-01,12/31/2020,NJ,Garden State Youth Correctional Facility,33,0,58,12.0,0.0,8,389.0,1.0,42,NR,434.0,1.0,108,NR,,3620.0,,,,,,,,"55 Hogback Rd, Crosswicks, NJ 08515",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
7,2021-01-01,12/31/2020,NJ,Mid-State Correctional Facility,0,0,16,4.0,0.0,2,76.0,1.0,76,NR,80.0,1.0,94,NR,,3620.0,,,,,,,,"Range Road Wrightstown, NJ, 08562",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
8,2021-01-01,12/31/2020,NJ,New Jersey State Prison,37,0,84,9.0,0.0,3,151.0,6.0,93,NR,197.0,6.0,180,NR,,3620.0,,,,,,,,"THIRD & FEDERAL STREETS, PO Box 861",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
9,2021-01-01,12/31/2020,NJ,Northern State Prison,48,0,71,16.0,0.0,11,210.0,10.0,154,NR,274.0,10.0,236,NR,,3620.0,,,,,,,,168 FRONTAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
10,2021-01-01,12/31/2020,NJ,South Woods State Prison,166,0,107,23.0,0.0,13,692.0,7.0,46,NR,881.0,7.0,166,NR,,3620.0,,,,,,,,215 S BURLINGTON ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
