Unnamed: 0,scrapedate,lastupdated,stateagency,facility,facilitytier,fac_inc_tested,fac_inc_positive,fac_inc_active,fac_inc_negative,fac_staff_positive,fac_staff_deaths,sum_inc_recovered,sum_inc_deaths,sum_staff_recovered,fac_inc_isolated,fac_inc_quarantined,fac_inc_pending,sum_inc_firstdose,sum_inc_seconddose,sum_inc_offeredvaccine,fac_state,fac_address,fac_zip,fac_facilitytier,sum_inc_positive,sum_inc_tested,sum_staff_positive,match,state
1,2021-01-01,,OR,CCCF,,1935.0,21.0,10.0,1914.0,19.0,,,21.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
2,2021-01-01,,OR,CCIC (Intake),,3694.0,56.0,29.0,3638.0,10.0,,,21.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
3,2021-01-01,,OR,CRCI,,1337.0,213.0,151.0,1124.0,24.0,,,21.0,444.0,,,,,,,OR,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",97211-1799,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
4,2021-01-01,,OR,DRCI,,1659.0,246.0,77.0,1413.0,40.0,,,21.0,444.0,,,,,,,OR,"3920 East Ashwood Road, Madras, Oregon 97741",97741,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
5,2021-01-01,,OR,EOCI,,958.0,452.0,1.0,506.0,73.0,,,21.0,444.0,,,,,,,OR,"2500 Westgate, Pendleton, Oregon 97801-9699",97801-9699,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
6,2021-01-01,,OR,MCCF,,344.0,31.0,22.0,313.0,7.0,,,21.0,444.0,,,,,,,OR,"5465 Turner Road SE, Salem, Oregon 97317 ",97317,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
7,2021-01-01,,OR,OSCI,,939.0,210.0,11.0,729.0,35.0,,,21.0,444.0,,,,,,,OR,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",97310-9385,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
8,2021-01-01,,OR,OSP,,804.0,283.0,127.0,521.0,83.0,,,21.0,444.0,,,,,,,OR,"2605 State Street, Salem, OR  97310",97310,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
9,2021-01-01,,OR,PRCF,,412.0,40.0,34.0,372.0,8.0,,,21.0,444.0,,,,,,,OR,"3600 13th Street, Baker City, Oregon 97814-1346",97814-1346,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
10,2021-01-01,,OR,SCCI,,230.0,26.0,1.0,204.0,4.0,,,21.0,444.0,,,,,,,OR,"95200 Shutters Landing Lane, North Bend, OR  97459",97459,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
11,2021-01-01,,OR,SCI,,325.0,12.0,1.0,313.0,8.0,,,21.0,444.0,,,,,,,OR,"4005 Aumsville Hwy SE, Salem, OR 97317",97317,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
