Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_staff_positive,fac_staff_active,fac_staff_negative,fac_staff_pending,fac_staff_deaths,fac_staff_recovered,fac_inc_positive,fac_inc_negative,fac_inc_pending,fac_inc_deaths,fac_inc_recovered,fac_inc_tested,fac_staff_tested,fac_inc_active,fac_inc_asymptomatic,fac_inc_population,sum_inc_vaccinated_dose1,sum_inc_vaccinated_dose2,sum_staff_vaccinated_dose1,sum_staff_vaccinated_dose2,sum_inc_positiveamin,sum_inc_positiveasian,sum_inc_positiveblack,sum_inc_positivehispanic,sum_inc_positiveother,sum_inc_positivewhite,sum_inc_positive18,sum_inc_positive18_1,sum_inc_positive2534,sum_inc_positive3544,sum_inc_positive4554,sum_inc_positive5564,sum_inc_positive65,sum_inc_deathsasian,sum_inc_deathsblack,sum_inc_deathshispanic,sum_inc_deathswhite,x42,facility_bjs,fac_state,fac_inc_released,fac_inc_symptomatic,fac_inc_transferred,fac_inc_hospital,fac_inc_surveillance,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_staff_deaths,sum_staff_positive,sum_staff_tested,match,bjs_fac_state,bjs_fac_id,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,sum_inc_positive18...31,sum_inc_positive18...32,...42,state
1,2021-01-01,,PA,Camp Hill,152.0,,118,52,1,160,204.0,5400,4405,3,156,10009.0,322,,,,,,,,,,,,,,,,,,,,,,,,,,SCI CAMP HILL,PA,,,,,,2500 LISBURN ROAD,17001.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI CAMP HILL,2500 LISBURN ROAD,CAMP HILL,PA,17001.0,Males only,Maximum/close/high,None,State authority,3633.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
2,2021-01-01,,PA,Albion,77.0,,88,23,,52,10.0,526,142,0,11,678.0,188,,,,,,,,,,,,,,,,,,,,,,,,,,SCI ALBION,PA,,,,,,3595 State School Road,16475.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI ALBION,10745 ROUTE 18,ALBION,PA,16475.0,Males only,Medium,None,State authority,2327.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
3,2021-01-01,,PA,Benner Township,113.0,,106,59,,98,144.0,159,73,2,124,376.0,278,,,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,"301 Institution Drive Bellefonte, PA 16823",16823.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,not in BJS,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
4,2021-01-01,,PA,Cambridge Springs,69.0,,61,4,,58,682.0,1723,111,1,649,2516.0,134,,,,,,,,,,,,,,,,,,,,,,,,,,SCI CAMBRIDGE SPRINGS,PA,,,,,,451 FULLERTON AVE,16403.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI CAMBRIDGE SPRINGS,451 FULLERTON AVE,CAMBRIDGE SPRINGS,PA,16403.0,Females only,Minimum/low,None,State authority,,1009.0,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
5,2021-01-01,,PA,Chester,135.0,,34,59,,134,168.0,764,272,4,165,1204.0,228,,,,,,,,,,,,,,,,,,,,,,,,,,SCI CHESTER,PA,,,,,,500 E. 4TH STREET,19013.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI CHESTER,500 E. 4TH STREET,CHESTER,PA,19013.0,Males only,Medium,None,State authority,1275.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
6,2021-01-01,,PA,Coal Township,61.0,,97,13,,54,200.0,5642,3996,0,181,9838.0,171,,,,,,,,,,,,,,,,,,,,,,,,,,SCI COAL TOWNSHIP,PA,,,,,,1 KELLY DRIVE,17866.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI COAL TOWNSHIP,1 KELLY DRIVE,COAL TOWNSHIP,PA,17866.0,Males only,Medium,None,State authority,2308.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
7,2021-01-01,,PA,Dallas,207.0,,162,20,,215,1186.0,1338,132,9,675,2656.0,389,,,,,,,,,,,,,,,,,,,,,,,,,,SCI DALLAS,PA,,,,,,1000 FOLLIES ROAD,18612.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI DALLAS,1000 FOLLIES ROAD,DALLAS,PA,18612.0,Males only,Medium,None,State authority,2101.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
8,2021-01-01,,PA,Fayette,87.0,,136,5,,74,23.0,523,159,1,10,705.0,228,,,,,,,,,,,,,,,,,,,,,,,,,,SCI FAYETTE,PA,,,,,,50 OVERLOOK DRIVE,15450.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI FAYETTE,50 OVERLOOK DRIVE,LABELLE,PA,15450.0,Males only,Maximum/close/high,None,State authority,2060.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
9,2021-01-01,,PA,Forest,65.0,,40,3,,53,31.0,413,394,2,13,838.0,108,,,,,,,,,,,,,,,,,,,,,,,,,,SCI FOREST,PA,,,,,,286 WOODLAND DRIVE,16239.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI FOREST,286 WOODLAND DRIVE,MARIENVILLE,PA,16239.0,Males only,Maximum/close/high,None,State authority,2287.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
10,2021-01-01,,PA,Frackville,48.0,,38,30,,56,68.0,514,318,0,44,900.0,116,,,,,,,,,,,,,,,,,,,,,,,,,,SCI FRACKVILLE,PA,,,,,,1111 ALTAMONT BLVD,17931.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI FRACKVILLE,1111 ALTAMONT BLVD,FRACKVILLE,PA,17931.0,Males only,Maximum/close/high,None,State authority,1160.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
