Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,fac_inc_active,fac_inc_recovered,fac_inc_deaths,fac_staff_positive,fac_staff_active,fac_staff_recovered,fac_staff_deaths,fac_inc_fully_vaccinated,fac_inc_declined_vaccination,facility_bjs,fac_state,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_staff_deaths,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,state
1,2021-01-01,,SC,Allendale,,29.0,0.0,27.0,2.0,29.0,2.0,27.0,0.0,,,ALLENDALE CORRECTIONAL INSTITUTION,SC,1057 REVOLUTIONARY TRAIL,29827,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,ALLENDALE CORRECTIONAL INSTITUTION,1057 REVOLUTIONARY TRAIL,FAIRFAX,SC,29827.0,Males only,Medium,None,State authority,1268.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
2,2021-01-01,,SC,Broad River,,416.0,41.0,366.0,9.0,80.0,9.0,70.0,1.0,,,BROAD RIVER CORRECTIONAL INSTITUTION,SC,"4460 Broad River Road, Columbia, SC 29210",29210,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,BROAD RIVER CORRECTIONAL INSTITUTION,4460 BROAD RIVER ROAD,COLUMBIA,SC,29210.0,Males only,Maximum/close/high,None,State authority,1123.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
3,2021-01-01,,SC,Camille Graham,,2.0,0.0,2.0,0.0,25.0,7.0,18.0,0.0,,,,SC,"4450 Broad River Road, Columbia, SC 29210-4096",29210-4096,2485.0,34.0,2.0,645.0,not in BJS,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
4,2021-01-01,,SC,Evans,,76.0,19.0,55.0,2.0,36.0,11.0,25.0,0.0,,,,SC,"610 HIGHWAY 9 WEST, BENNETTSVILLE, SC 29512",29512,2485.0,34.0,2.0,645.0,not in BJS,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
5,2021-01-01,,SC,Goodman,,80.0,2.0,77.0,1.0,8.0,0.0,8.0,0.0,,,GOODMAN CORRECTIONAL INSTITUTION,SC,"4556 Broad River Road, Columbia, SC 29210",29210,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,GOODMAN CORRECTIONAL INSTITUTION,4456 BROAD RIVER ROAD,COLUMBIA,SC,29210.0,Females only,Minimum/low,Less than 50% of the inmates,State authority,,302.0,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
6,2021-01-01,,SC,Kershaw,,0.0,0.0,0.0,0.0,18.0,11.0,7.0,0.0,,,KERSHAW CORRECTIONAL INSTITUTION,SC,"4848 Gold Mine Highway, Kershaw, SC 29067",29067,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,KERSHAW CORRECTIONAL INSTITUTION,4848 GOLDMINE HWY,KERSHAW,SC,29067.0,Males only,Medium,None,State authority,1474.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
7,2021-01-01,,SC,Kirkland,,449.0,18.0,428.0,3.0,85.0,11.0,74.0,0.0,,,KIRKLAND RECEPTION & EVALUATION CENTER,SC,"4344 Broad River Road, Columbia, SC 29210",29210,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,KIRKLAND RECEPTION & EVALUATION CENTER,4344 BROAD RIVER ROAD,COLUMBIA,SC,29210.0,Males only,Maximum/close/high,None,State authority,1956.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
8,2021-01-01,,SC,Leath,,20.0,0.0,20.0,0.0,9.0,1.0,8.0,0.0,,,LEATH CORRECTIONAL INSTITUTION,SC,"2809 Airport Road, Greenwood, SC 29649",29649,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LEATH CORRECTIONAL INSTITUTION,2809 AIRPORT ROAD,GREENWOOD,SC,29649.0,Females only,Maximum/close/high,None,State authority,,527.0,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
9,2021-01-01,,SC,Lee,,58.0,1.0,56.0,1.0,36.0,4.0,31.0,1.0,,,LEE CORRECTIONAL INSTITUTION,SC,990 WISACKY HWY,29010,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LEE CORRECTIONAL INSTITUTION,990 WISACKY HWY,BISHOPVILLE,SC,29010.0,Males only,Maximum/close/high,None,State authority,1746.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
10,2021-01-01,,SC,Lieber,,132.0,1.0,129.0,2.0,30.0,1.0,29.0,0.0,,,LIEBER CORRECTIONAL INSTITUTION,SC,"136 Wilborn Avenue Ridgeville, SC 29472",29472,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LIEBER CORRECTIONAL INSTITUTION,136 WILBORN AVENUE,RIDGEVILLE,SC,29472.0,Males only,Maximum/close/high,None,State authority,1415.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
