Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_positive,fac_inc_tested,fac_inc_active,fac_inc_negative,fac_inc_pending,fac_inc_recovered,fac_inc_deaths,fac_staff_positive,fac_staff_recovered,fac_staff_deaths,sum_inc_vaccinated,sum_staff_vaccinated,demographics_type,demographics_category,demographics_inc_positive,facility_bjs,fac_state,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_staff_deaths,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_privprison,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,state
1,2021-01-01,44195,TN,Bledsoe County Correctional (BCCX),801.0,5093.0,5.0,4272.0,19.0,796.0,1.0,,,,,,,,,,,"1045 Horsehead Road Pikeville, Tennessee  37367",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
2,2021-01-01,44195,TN,Morgan County Correctional (MCCX),76.0,1721.0,57.0,1618.0,17.0,19.0,1.0,,,,,,,,,,,"541 Wayne Cotton Morgan Drive, Wartburg, Tennessee 37887",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
3,2021-01-01,44195,TN,Northeast Correctional (NECX),370.0,2399.0,1.0,2008.0,13.0,369.0,5.0,,,,,,,,,,,"5249 Highway 67 West, Mountain City, Tennessee 37683-5000",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
4,2021-01-01,44195,TN,Lois M. Derry Special Needs (DSNF),158.0,1732.0,8.0,1533.0,27.0,150.0,8.0,,,,,,,,,,,"7575 Cockrill Bend Boulevard, Nashville, Tennessee 37209-1057",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
5,2021-01-01,44195,TN,Riverbend Maximum Security (RMSI),88.0,1236.0,0.0,1142.0,0.0,88.0,,,,,,,,,,,,7475 COCKRILL BEND BLVD,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
6,2021-01-01,44195,TN,Tennessee Prison for Women (TPFW/DJRC),310.0,1775.0,16.0,1444.0,18.0,294.0,1.0,,,,,,,,,,,"3881 Stewarts Lane, Nashville, Tennessee 37243-0468",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
7,2021-01-01,44195,TN,Turney Center Industrial Complex (TCIX),120.0,1834.0,44.0,1706.0,2.0,76.0,2.0,,,,,,,,,,,1499 R.W. MOORE MEMORIAL HIGHWAY,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
8,2021-01-01,44195,TN,Turney Center Industrial Complex-Annex (TCIX-A),3.0,392.0,0.0,383.0,3.0,3.0,,,,,,,,,,,,"1499 R.W. Moore Memorial Highway, Only, Tennessee 37140-4050",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
9,2021-01-01,44195,TN,Mark Luttrell Transition Center (MLTC),62.0,415.0,0.0,351.0,1.0,62.0,,,,,,,,,,,,6000 STATE ROAD,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
10,2021-01-01,44195,TN,Northwest Correctional Complex (NWCX),863.0,4252.0,11.0,3353.0,14.0,852.0,1.0,,,,,,,,,,,"960 State Route 212, Tiptonville, Tennessee 38079",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
11,2021-01-01,44195,TN,West Tennessee State Penitentiary (WTSP),266.0,1491.0,2.0,1195.0,20.0,264.0,2.0,,,,,,,,,,,"480 Green Chapel Road, Henning, Tennessee 38041-1150",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
12,2021-01-01,44195,TN,Women's Therapeutic Residential Center (WTRC),138.0,1714.0,4.0,1562.0,14.0,134.0,,,,,,,,,,,,"480 Green Chapel Road, Henning, Tennessee 38041-1150",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
13,2021-01-01,44195,TN,Hardeman County Correctional,300.0,2846.0,8.0,2502.0,42.0,292.0,,,,,,,,,,,,"2520 Union Springs Road, Whiteville, Tennessee 38075",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
14,2021-01-01,44195,TN,South Central Correctional,1236.0,3373.0,9.0,2109.0,11.0,1227.0,6.0,,,,,,,,,,,"555 Forest Avenue, Clifton, Tennessee 38425-0279",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
