Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,fac_inc_negative,fac_inc_testpending,fac_inc_recovered,fac_inc_deaths,sum_inc_vaccinated,sum_staff_positive,sum_staff_recovered,sum_staff_deaths,facility_bjs,fac_state,fac_inc_testedlocal,fac_inc_testedintake,fac_inc_pending,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,fac_inc_vaccinatedpercent,state
1,2021-01-01,44194,UT,Utah State Prison -- Draper,9425.0,1620.0,7805.0,NR,1075.0,10.0,,,,,,,,,,P.O. Box 250,,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
2,2021-01-01,44194,UT,Central Utah Correctional Facility -- Gunnison,6947.0,945.0,6002.0,NR,461.0,2.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
3,2021-01-01,44194,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,9.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
4,2021-01-01,44194,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
5,2021-01-01,44194,UT,Fortitude Treatment Center,308.0,30.0,278.0,NR,13.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
6,2021-01-01,44194,UT,Northern Utah Community Correctional Center,287.0,22.0,265.0,NR,10.0,0.0,,,,,,,,,,"2445 S. Water Tower Way (1125 W.) Ogden, UT 84401",84401.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
7,2021-01-01,44194,UT,Orange Street Community Correctional Center,36.0,12.0,24.0,NR,0.0,0.0,,,,,,,,,,"80 S. Orange Street (1900 West) Salt Lake City, UT 84116",84116.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
8,2021-01-01,44196,UT,,,,,,,,,312.0,238.0,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
9,2021-01-02,44194,UT,Utah State Prison -- Draper,9425.0,1620.0,7805.0,NR,1075.0,10.0,,,,,,,,,,P.O. Box 250,,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
10,2021-01-02,44194,UT,Central Utah Correctional Facility -- Gunnison,6947.0,945.0,6002.0,NR,461.0,2.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
