Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,fac_inc_positiveonsite,fac_inc_hospitalized,fac_inc_deaths,fac_staff_positive,fac_staff_active,sum_inc_docearlyrelease,sum_inc_hospitalearlyrelease,sum_inc_localjailsearlyrelease,sum_staff_deaths,sum_inc_vaccinated,sum_staff_vaccinated,facility_bjs,fac_state,fac_inc_hospital,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_zip2,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_privprison,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_notes,state
1,2021-01-01,,VA,Appalachian Mens CCAP,NR,50.0,18.0,0.0,0.0,NR,6.0,,,,,,,,,,"924 CLIFTON ROAD, P. O. Box 2110",24260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
2,2021-01-01,,VA,Augusta Correctional Center,,456.0,107.0,,4.0,,,,,,,,,,,,"1821 Estaline Valley Road, Craigsville, VA 24430",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
3,2021-01-01,,VA,Baskerville Correctional Center,,249.0,0.0,,0.0,,,,,,,,,,,,"4150 Hayes Mill Road ,Baskerville, VA 23915",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
4,2021-01-01,,VA,Bland Correctional Center,,185.0,9.0,,0.0,,,,,,,,,,,,"256 Bland Farm Road, Bland, VA 24315",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
5,2021-01-01,,VA,Brunswick CCAP,,0.0,0.0,,0.0,,,,,,,,,,,,1147 PLANTERS ROAD,,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
6,2021-01-01,,VA,Buckingham Correctional Center,,598.0,207.0,,4.0,,,,,,,,,,,,"1349 Correctional Center Road, Dillwyn, VA 23936",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
7,2021-01-01,,VA,Caroline Correctional Unit,,6.0,1.0,,0.0,,,,,,,,,,,,"31285 Camp Road, Hanover, VA 23069",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
8,2021-01-01,,VA,Central Virginia Correctional Unit 13,,57.0,0.0,,0.0,,,,,,,,,,,,"6900 Courthouse Road, Chesterfield, VA 23832",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
9,2021-01-01,,VA,Chesterfield Women’s CCAP,,0.0,0.0,,0.0,,,,,,,,,,,,"7000 Courthouse Road, Chesterfield, VA 23832",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
10,2021-01-01,,VA,Coffeewood Correctional Center,,674.0,2.0,,1.0,,,,,,,,,,,,"12352 Coffeewood Drive, Mitchells, VA 22729",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
