Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_population,fac_inc_active,fac_inc_recovered,fac_inc_positive,fac_inc_negative,fac_inc_pending,fac_inc_totaltests,fac_inc_quarantined,fac_inc_deaths,facilties_inc_vaccinated,facilties_inc_vaccinatedjuvenile,sum_staff_vaccinatedfirstdose,sum_staff_vaccinatedseconddose,sum_staff_vaccinatedfirstdosejuvenile,sum_staff_vaccinatedseconddosejuvenile,sum_staff_populationcorrectional,sum_staff_populationjuvenile,sum_staff_activecorrectional,sum_staff_activejuvenile,sum_staff_recoveredcorrectional,sum_staff_recoveredjuvenile,sum_staff_positivecorrectional,sum_staff_positivejuvenile,sum_staff_negativecorrectional,sum_staff_negativejuvenile,sum_staff_pendingcorrectional,sum_staff_pendingjuvenile,sum_staff_testedcorrectional,sum_staff_testedjuvenile,sum_staff_quarantinedcorrectional,sum_staff_quarantinedjuvenile,sum_staff_deaths,sum_staff_negative,sum_staff_active,sum_staff_pending,sum_staff_tested,sum_staff_recovered,sum_staff_positive,facility_bjs,fac_state,fac_inc_tested,fac_inc_new_tested,fac_inc_pop,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_staff_popcorrectional,sum_staff_popjuvenile,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,state
1,2021-01-01,44196,WV,Denmar,123.0,0.0,61.0,61.0,272.0,0.0,333.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC64 BOX 125,,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/WV.csv
2,2021-01-01,44196,WV,Huttonsville,909.0,0.0,128.0,128.0,1099.0,0.0,1227.0,103.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROUTE 250 SOUTH,,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/WV.csv
3,2021-01-01,44196,WV,Lakin,402.0,0.0,0.0,0.0,460.0,1.0,461.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11264 OHIO RIVER ROAD,,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/WV.csv
4,2021-01-01,44196,WV,Martinsburg,66.0,0.0,12.0,12.0,372.0,0.0,384.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 GRAPEVINE ROAD,,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/WV.csv
5,2021-01-01,44196,WV,Mount Olive,998.0,0.0,195.0,202.0,2248.0,2.0,2452.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 MOUNTAIN SIDE WAY,,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/WV.csv
6,2021-01-01,44196,WV,Northern,228.0,0.0,127.0,128.0,310.0,0.0,438.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112 Northern Regional Correction Drive, Moundsville, WV 26041",26041.0,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/WV.csv
7,2021-01-01,44196,WV,Ohio County,20.0,7.0,0.0,7.0,84.0,12.0,103.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501 EOFF STREET,,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/WV.csv
8,2021-01-01,44196,WV,Pruntytown,114.0,0.0,54.0,54.0,365.0,6.0,425.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROUTE 4 BOX 49A,,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/WV.csv
9,2021-01-01,44196,WV,Salem,214.0,0.0,0.0,0.0,308.0,1.0,309.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 Industrial Blvd., Industrial, WV 26426",,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/WV.csv
10,2021-01-01,44196,WV,Saint Marys,399.0,247.0,63.0,311.0,818.0,8.0,1137.0,81.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880 N PLEASANTS HIGHWAY,,1172.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/WV.csv
